OrderID,Region,Latitude,Longitude,OrderDate,Price(INR),Weight(kg),Size,Timestamp,Pincode
ORD-1001,Hazratganj,26.84821,80.94372,2024-03-15,1250,2.30,Medium,2024-03-15T09:23:45,226001
ORD-1002,Alambagh,26.81203,80.91745,2024-07-22,890,0.80,Small,2024-07-22T14:10:32,226005
ORD-1003,Gomti Nagar,26.86412,80.99541,2024-01-08,3200,15.50,XL,2024-01-08T11:45:10,226010
ORD-1004,Indira Nagar,26.88102,80.99312,2024-05-17,450,1.20,Small,2024-05-17T16:30:55,226016
ORD-1005,Aliganj,26.89234,80.96018,2024-09-04,2100,8.70,Large,2024-09-04T08:15:22,226024
ORD-1006,Chowk,26.87123,80.91089,2024-11-28,340,0.50,Small,2024-11-28T19:42:11,226003
ORD-1007,Aminabad,26.85612,80.92341,2024-02-14,780,3.40,Medium,2024-02-14T12:05:37,226018
ORD-1008,Rajajipuram,26.85198,80.89234,2024-06-30,1650,6.20,Large,2024-06-30T10:55:48,226017
ORD-1009,Mahanagar,26.87891,80.95214,2024-08-19,920,2.90,Medium,2024-08-19T15:20:14,226006
ORD-1010,Chinhat,26.86712,81.05341,2024-04-11,2750,12.10,XL,2024-04-11T07:35:29,226028
ORD-1011,Vikas Nagar,26.90812,80.97123,2024-10-23,560,1.80,Small,2024-10-23T13:48:53,226022
ORD-1012,Vrindavan Yojana,26.82134,81.00812,2024-12-05,1890,7.60,Large,2024-12-05T17:12:40,226029
ORD-1013,Hazratganj,26.84512,80.94891,2024-03-28,430,0.60,Small,2024-03-28T09:55:18,226001
ORD-1014,Alambagh,26.80789,80.91234,2024-07-09,3100,18.40,XL,2024-07-09T14:30:07,226005
ORD-1015,Gomti Nagar,26.85923,80.98712,2024-01-25,1340,4.50,Medium,2024-01-25T11:10:44,226010
ORD-1016,Indira Nagar,26.88512,80.99834,2024-05-03,670,2.10,Small,2024-05-03T16:50:29,226016
ORD-1017,Aliganj,26.88712,80.96523,2024-09-18,2890,11.30,XL,2024-09-18T08:40:15,226024
ORD-1018,Chowk,26.86834,80.90712,2024-11-14,510,1.40,Small,2024-11-14T19:05:52,226003
ORD-1019,Aminabad,26.85234,80.92978,2024-02-27,1120,4.80,Medium,2024-02-27T12:25:33,226018
ORD-1020,Rajajipuram,26.85634,80.89712,2024-07-15,740,2.70,Medium,2024-07-15T10:15:19,226017
ORD-1021,Mahanagar,26.87312,80.95712,2024-08-06,1980,9.20,Large,2024-08-06T15:45:08,226006
ORD-1022,Chinhat,26.87123,81.04812,2024-04-24,380,0.90,Small,2024-04-24T07:58:41,226028
ORD-1023,Vikas Nagar,26.90234,80.97634,2024-10-09,2340,10.60,XL,2024-10-09T13:12:27,226022
ORD-1024,Vrindavan Yojana,26.81712,81.00234,2024-12-19,860,3.10,Medium,2024-12-19T17:35:16,226029
ORD-1025,Hazratganj,26.85023,80.94123,2024-04-07,1560,5.90,Large,2024-04-07T10:08:34,226001
ORD-1026,Alambagh,26.81512,80.92012,2024-08-13,290,0.40,Small,2024-08-13T14:55,226005
ORD-1027,Gomti Nagar,26.86134,80.99123,2024-02-09,2670,14.20,XL,2024-02-09T11:30,226010
ORD-1028,Indira Nagar,26.87923,80.99012,2024-06-18,990,3.70,Medium,2024-06-18T17:10,226016
ORD-1029,Aliganj,26.89512,80.95812,2024-10-02,1780,7.10,Large,2024-10-02T09:05,226024
ORD-1030,Chowk,26.87312,80.91423,2024-12-10,620,1.90,Small,2024-12-10T20:15,226003
ORD-1031,Aminabad,26.85912,80.92612,2024-03-21,1430,5.30,Medium,2024-03-21T12:45,226018
ORD-1032,Rajajipuram,26.84923,80.89523,2024-07-28,3350,19.80,XL,2024-07-28T10:35,226017
ORD-1033,Mahanagar,26.87634,80.94923,2024-09-12,810,2.50,Small,2024-09-12T15:58,226006
ORD-1034,Chinhat,26.86523,81.05712,2024-05-06,2190,9.90,Large,2024-05-06T08:20,226028
ORD-1035,Vikas Nagar,26.91023,80.97312,2024-11-17,470,1.30,Small,2024-11-17T13:35,226022
ORD-1036,Vrindavan Yojana,26.82512,81.01023,2024-01-30,1720,6.80,Large,2024-01-30T18:00,226029
ORD-1037,Hazratganj,26.84234,80.95023,2024-04-19,2450,11.70,XL,2024-04-19T10:28,226001
ORD-1038,Alambagh,26.80512,80.91912,2024-08-26,700,2.30,Medium,2024-08-26T15:18,226005
ORD-1039,Gomti Nagar,26.86712,80.98423,2024-02-22,1150,4.10,Medium,2024-02-22T11:52,226010
ORD-1040,Indira Nagar,26.88234,80.99523,2024-06-05,360,0.70,Small,2024-06-05T17:32,226016
ORD-1041,Aliganj,26.88912,80.96234,2024-10-16,2560,13.40,XL,2024-10-16T09:22,226024
ORD-1042,Chowk,26.86612,80.91712,2024-12-23,940,3.60,Medium,2024-12-23T20:38,226003
ORD-1043,Aminabad,26.85023,80.92123,2024-03-04,1840,8.00,Large,2024-03-04T13:08,226018
ORD-1044,Rajajipuram,26.85812,80.89034,2024-08-10,530,1.60,Small,2024-08-10T10:58,226017
ORD-1045,Mahanagar,26.87023,80.95512,2024-09-25,2080,10.20,Large,2024-09-25T16:15,226006
ORD-1046,Chinhat,26.86934,81.04523,2024-05-19,1390,5.70,Medium,2024-05-19T08:42,226028
ORD-1047,Vikas Nagar,26.90512,80.96912,2024-11-30,3050,17.60,XL,2024-11-30T14:02,226022
ORD-1048,Vrindavan Yojana,26.81934,81.00512,2024-02-12,680,2.20,Small,2024-02-12T18:25,226029
ORD-1049,Hazratganj,26.84723,80.94612,2024-05-01,1620,6.40,Large,2024-05-01T10:48,226001
ORD-1050,Alambagh,26.81012,80.92312,2024-09-08,410,1.00,Small,2024-09-08T15:38,226005
ORD-1051,Gomti Nagar,26.85712,80.99712,2024-03-06,2920,16.30,XL,2024-03-06T12:12,226010
ORD-1052,Indira Nagar,26.88712,80.98712,2024-06-22,850,3.20,Medium,2024-06-22T17:55,226016
ORD-1053,Aliganj,26.89134,80.96812,2024-10-29,1490,5.50,Medium,2024-10-29T09:42,226024
ORD-1054,Chowk,26.87512,80.90412,2024-01-12,760,2.80,Medium,2024-01-12T20:58,226003
ORD-1055,Aminabad,26.85712,80.93112,2024-03-17,2210,9.50,Large,2024-03-17T13:28,226018
ORD-1056,Rajajipuram,26.85312,80.89912,2024-08-23,1080,4.20,Medium,2024-08-23T11:18,226017
ORD-1057,Mahanagar,26.87912,80.94712,2024-10-07,330,0.80,Small,2024-10-07T16:35,226006
ORD-1058,Chinhat,26.87312,81.05112,2024-05-31,2480,12.80,XL,2024-05-31T09:02,226028
ORD-1059,Vikas Nagar,26.90812,80.97812,2024-12-12,960,3.80,Medium,2024-12-12T14:22,226022
ORD-1060,Vrindavan Yojana,26.82312,81.00912,2024-02-25,1530,6.10,Large,2024-02-25T18:45,226029
ORD-1061,Hazratganj,26.84112,80.94234,2024-05-14,2730,14.90,XL,2024-05-14T11:08,226001
ORD-1062,Alambagh,26.81712,80.91512,2024-09-21,590,1.70,Small,2024-09-21T15:58,226005
ORD-1063,Gomti Nagar,26.86234,80.98912,2024-03-19,1270,4.70,Medium,2024-03-19T12:32,226010
ORD-1064,Indira Nagar,26.87812,80.99912,2024-07-04,480,1.40,Small,2024-07-04T18:15,226016
ORD-1065,Aliganj,26.88612,80.95912,2024-11-12,3180,18.20,XL,2024-11-12T10:02,226024
ORD-1066,Chowk,26.86912,80.91212,2024-01-26,870,3.00,Medium,2024-01-26T21:18,226003
ORD-1067,Aminabad,26.85412,80.92812,2024-03-30,1710,7.30,Large,2024-03-30T13:48,226018
ORD-1068,Rajajipuram,26.84712,80.89812,2024-09-05,260,0.50,Small,2024-09-05T11:38,226017
ORD-1069,Mahanagar,26.87512,80.95912,2024-10-20,2360,10.80,Large,2024-10-20T16:55,226006
ORD-1070,Chinhat,26.86812,81.04212,2024-06-13,1460,5.80,Medium,2024-06-13T09:22,226028
ORD-1071,Vikas Nagar,26.90112,80.97512,2024-12-25,820,2.60,Small,2024-12-25T14:42,226022
ORD-1072,Vrindavan Yojana,26.82712,81.01312,2024-03-10,1950,8.40,Large,2024-03-10T19:05,226029
